Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.01     0.00    11979     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.01     0.00    11402     0.00     0.00  __gnu_cxx::__normal_iterator<Light*, std::vector<Light, std::allocator<Light> > >::base() const
  0.00      0.01     0.00    10746     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.01     0.00    10567     0.00     0.00  vec2(Vector4 const&)
  0.00      0.01     0.00    10459     0.00     0.00  vec3(Vector2 const&)
  0.00      0.01     0.00    10459     0.00     0.00  Vector2::sub(Vector2 const&)
  0.00      0.01     0.00    10459     0.00     0.00  Vector2::operator-(Vector2 const&)
  0.00      0.01     0.00    10080     0.00     0.00  std::vector<Triangle3, std::allocator<Triangle3> >::end()
  0.00      0.01     0.00     9905     0.00     0.00  Triangle3::normal()
  0.00      0.01     0.00     9406     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      0.01     0.00     9406     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.01     0.00     9406     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.01     0.00     9406     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.01     0.00     9404     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      0.01     0.00     9132     0.00     0.00  Vector4::div(float)
  0.00      0.01     0.00     9132     0.00     0.00  Vector4::operator/(float)
  0.00      0.01     0.00     8640     0.00     0.00  __gnu_cxx::__normal_iterator<Triangle3 const*, std::vector<Triangle3, std::allocator<Triangle3> > >::__normal_iterator(Triangle3 const* const&)
  0.00      0.01     0.00     8640     0.00     0.00  Triangle3&& std::forward<Triangle3>(std::remove_reference<Triangle3>::type&)
  0.00      0.01     0.00     8577     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      0.01     0.00     8320     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_get_Tp_allocator()
  0.00      0.01     0.00     8292     0.00     0.00  Vector2::mul(float)
  0.00      0.01     0.00     8292     0.00     0.00  Vector2::operator*(float)
  0.00      0.01     0.00     8280     0.00     0.00  std::_Vector_base<Triangle3, std::allocator<Triangle3> >::_M_allocate(unsigned long)
  0.00      0.01     0.00     8114     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.01     0.00     7920     0.00     0.00  bool __gnu_cxx::operator!=<Triangle3*, std::vector<Triangle3, std::allocator<Triangle3> > >(__gnu_cxx::__normal_iterator<Triangle3*, std::vector<Triangle3, std::allocator<Triangle3> > > const&, __gnu_cxx::__normal_iterator<Triangle3*, std::vector<Triangle3, std::allocator<Triangle3> > > const&)
  0.00      0.01     0.00     7920     0.00     0.00  std::vector<Triangle3, std::allocator<Triangle3> >::max_size() const
  0.00      0.01     0.00     7920     0.00     0.00  Triangle3* std::__uninitialized_copy<false>::__uninit_copy<Triangle3 const*, Triangle3*>(Triangle3 const*, Triangle3 const*, Triangle3*)
  0.00      0.01     0.00     7920     0.00     0.00  std::vector<Triangle3, std::allocator<Triangle3> >::_S_max_size(std::allocator<Triangle3> const&)
  0.00      0.01     0.00     7920     0.00     0.00  std::vector<Triangle3, std::allocator<Triangle3> >::begin()
  0.00      0.01     0.00     7920     0.00     0.00  Triangle3* std::__do_uninit_copy<Triangle3 const*, Triangle3*>(Triangle3 const*, Triangle3 const*, Triangle3*)
  0.00      0.01     0.00     7920     0.00     0.00  Triangle3* std::uninitialized_copy<Triangle3 const*, Triangle3*>(Triangle3 const*, Triangle3 const*, Triangle3*)
  0.00      0.01     0.00     7920     0.00     0.00  Triangle3* std::__uninitialized_copy_a<Triangle3 const*, Triangle3*, Triangle3>(Triangle3 const*, Triangle3 const*, Triangle3*, std::allocator<Triangle3>&)
  0.00      0.01     0.00     7920     0.00     0.00  Triangle3* std::__uninitialized_move_if_noexcept_a<Triangle3*, Triangle3*, std::allocator<Triangle3> >(Triangle3*, Triangle3*, Triangle3*, std::allocator<Triangle3>&)
  0.00      0.01     0.00     7599     0.00     0.00  Light::Light(Light const&)
  0.00      0.01     0.00     7560     0.00     0.00  Triangle3 const& std::forward<Triangle3 const&>(std::remove_reference<Triangle3 const&>::type&)
  0.00      0.01     0.00     7214     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.01     0.00     6930     0.00     0.00  Matrix3::set(int, int, float)
  0.00      0.01     0.00     6802     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_M_swap_data(std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data&)
  0.00      0.01     0.00     6660     0.00     0.00  std::__new_allocator<unsigned int>::~__new_allocator()
  0.00      0.01     0.00     6510     0.00     0.00  ReducedFrag::ReducedFrag(ReducedFrag const&)
  0.00      0.01     0.00     6510     0.00     0.00  Scene::drawPixel(int, int, unsigned int)
  0.00      0.01     0.00     6480     0.00     0.00  Plane::distanceFrom(Vector3 const&)
  0.00      0.01     0.00     6480     0.00     0.00  Plane::distanceFromOrigin()
  0.00      0.01     0.00     6480     0.00     0.00  Triangle3::area()
  0.00      0.01     0.00     6480     0.00     0.00  bool __gnu_cxx::operator!=<Triangle3 const*, std::vector<Triangle3, std::allocator<Triangle3> > >(__gnu_cxx::__normal_iterator<Triangle3 const*, std::vector<Triangle3, std::allocator<Triangle3> > > const&, __gnu_cxx::__normal_iterator<Triangle3 const*, std::vector<Triangle3, std::allocator<Triangle3> > > const&)
  0.00      0.01     0.00     6354     0.00     0.00  TriangleF::TriangleF(TriangleF const&)
  0.00      0.01     0.00     6315     0.00     0.00  Vector2::div(float)
  0.00      0.01     0.00     6315     0.00     0.00  Vector2::operator/(float)
  0.00      0.01     0.00     6120     0.00     0.00  __gnu_cxx::__normal_iterator<Triangle3*, std::vector<Triangle3, std::allocator<Triangle3> > >::operator*() const
  0.00      0.01     0.00     6120     0.00     0.00  std::_Vector_base<Triangle3, std::allocator<Triangle3> >::_Vector_impl::_Vector_impl()
  0.00      0.01     0.00     6120     0.00     0.00  std::_Vector_base<Triangle3, std::allocator<Triangle3> >::_Vector_base()
  0.00      0.01     0.00     6120     0.00     0.00  std::__new_allocator<Triangle3>::deallocate(Triangle3*, unsigned long)
  0.00      0.01     0.00     6120     0.00     0.00  std::__new_allocator<Triangle3>::allocate(unsigned long, void const*)
  0.00      0.01     0.00     6120     0.00     0.00  std::vector<Triangle3, std::allocator<Triangle3> >::vector()
  0.00      0.01     0.00     6015     0.00     0.00  Vector4::Vector4(Vector4 const&)
  0.00      0.01     0.00     5949     0.00     0.00  NormSum(Vector3)
  0.00      0.01     0.00     5949     0.00     0.00  Vector2::add(Vector2 const&)
  0.00      0.01     0.00     5949     0.00     0.00  Vector2::operator+(Vector2 const&)
  0.00      0.01     0.00     5697     0.00     0.00  bool __gnu_cxx::operator!=<Light*, std::vector<Light, std::allocator<Light> > >(__gnu_cxx::__normal_iterator<Light*, std::vector<Light, std::allocator<Light> > > const&, __gnu_cxx::__normal_iterator<Light*, std::vector<Light, std::allocator<Light> > > const&)
  0.00      0.01     0.00     5400     0.00     0.00  std::_Vector_base<Triangle3, std::allocator<Triangle3> >::_Vector_impl_data::_M_copy_data(std::_Vector_base<Triangle3, std::allocator<Triangle3> >::_Vector_impl_data const&)
  0.00      0.01     0.00     5313     0.00     0.00  fromPoint(Vector3&)
  0.00      0.01     0.00     5181     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.01     0.00     5178     0.00     0.00  std::__new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.01     0.00     5178     0.00     0.00  std::__new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.01     0.00     5166     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.01     0.00     5136     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int const, int>(int const*, int const*, int*)
  0.00      0.01     0.00     5136     0.00     0.00  int* std::__niter_wrap<int*>(int* const&, int*)
  0.00      0.01     0.00     5136     0.00     0.00  int* std::__copy_move_a1<false, int const*, int*>(int const*, int const*, int*)
  0.00      0.01     0.00     5136     0.00     0.00  int* std::__copy_move_a2<false, int const*, int*>(int const*, int const*, int*)
  0.00      0.01     0.00     5097     0.00     0.00  rgb(Vector3)
  0.00      0.01     0.00     5097     0.00     0.00  rgba(Vector4)
  0.00      0.01     0.00     4743     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      0.01     0.00     4743     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      0.01     0.00     4703     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00      0.01     0.00     4703     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      0.01     0.00     4703     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.01     0.00     4703     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  0.00      0.01     0.00     4703     0.00     0.00  int* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.01     0.00     4703     0.00     0.00  int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.01     0.00     4703     0.00     0.00  int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&)
  0.00      0.01     0.00     4703     0.00     0.00  int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.01     0.00     4702     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*)
  0.00      0.01     0.00     4667     0.00     0.00  TriangleF::inside(Vector2)
  0.00      0.01     0.00     4667     0.00     0.00  TriangleF::orient()
  0.00      0.01     0.00     4320     0.00     0.00  std::vector<Triangle3, std::allocator<Triangle3> >::end() const
  0.00      0.01     0.00     4320     0.00     0.00  std::vector<Triangle3, std::allocator<Triangle3> >::begin() const
  0.00      0.01     0.00     4320     0.00     0.00  std::_Vector_base<Triangle3, std::allocator<Triangle3> >::_Vector_impl::_Vector_impl(std::allocator<Triangle3> const&)
  0.00      0.01     0.00     4320     0.00     0.00  std::_Vector_base<Triangle3, std::allocator<Triangle3> >::_M_create_storage(unsigned long)
  0.00      0.01     0.00     4320     0.00     0.00  std::_Vector_base<Triangle3, std::allocator<Triangle3> >::_Vector_base(unsigned long, std::allocator<Triangle3> const&)
  0.00      0.01     0.00     4320     0.00     0.00  Triangle3* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<Triangle3 const*, std::vector<Triangle3, std::allocator<Triangle3> > >, Triangle3*>(__gnu_cxx::__normal_iterator<Triangle3 const*, std::vector<Triangle3, std::allocator<Triangle3> > >, __gnu_cxx::__normal_iterator<Triangle3 const*, std::vector<Triangle3, std::allocator<Triangle3> > >, Triangle3*)
  0.00      0.01     0.00     4320     0.00     0.00  std::vector<Triangle3, std::allocator<Triangle3> >::vector(std::vector<Triangle3, std::allocator<Triangle3> > const&)
  0.00      0.01     0.00     4320     0.00     0.00  Triangle3* std::__do_uninit_copy<__gnu_cxx::__normal_iterator<Triangle3 const*, std::vector<Triangle3, std::allocator<Triangle3> > >, Triangle3*>(__gnu_cxx::__normal_iterator<Triangle3 const*, std::vector<Triangle3, std::allocator<Triangle3> > >, __gnu_cxx::__normal_iterator<Triangle3 const*, std::vector<Triangle3, std::allocator<Triangle3> > >, Triangle3*)
  0.00      0.01     0.00     4320     0.00     0.00  Triangle3* std::uninitialized_copy<__gnu_cxx::__normal_iterator<Triangle3 const*, std::vector<Triangle3, std::allocator<Triangle3> > >, Triangle3*>(__gnu_cxx::__normal_iterator<Triangle3 const*, std::vector<Triangle3, std::allocator<Triangle3> > >, __gnu_cxx::__normal_iterator<Triangle3 const*, std::vector<Triangle3, std::allocator<Triangle3> > >, Triangle3*)
  0.00      0.01     0.00     4320     0.00     0.00  Triangle3* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<Triangle3 const*, std::vector<Triangle3, std::allocator<Triangle3> > >, Triangle3*, Triangle3>(__gnu_cxx::__normal_iterator<Triangle3 const*, std::vector<Triangle3, std::allocator<Triangle3> > >, __gnu_cxx::__normal_iterator<Triangle3 const*, std::vector<Triangle3, std::allocator<Triangle3> > >, Triangle3*, std::allocator<Triangle3>&)
  0.00      0.01     0.00     4320     0.00     0.00  std::remove_reference<std::_Vector_base<Triangle3, std::allocator<Triangle3> >::_Vector_impl&>::type&& std::move<std::_Vector_base<Triangle3, std::allocator<Triangle3> >::_Vector_impl&>(std::_Vector_base<Triangle3, std::allocator<Triangle3> >::_Vector_impl&)
  0.00      0.01     0.00     4320     0.00     0.00  std::vector<Triangle3, std::allocator<Triangle3> >& std::forward<std::vector<Triangle3, std::allocator<Triangle3> >&>(std::remove_reference<std::vector<Triangle3, std::allocator<Triangle3> >&>::type&)
  0.00      0.01     0.00     4003     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.01     0.00     3966     0.00     0.00  Plane::Plane(Plane const&)
  0.00      0.01     0.00     3960     0.00     0.00  __gnu_cxx::__normal_iterator<Triangle3*, std::vector<Triangle3, std::allocator<Triangle3> > >::operator++()
  0.00      0.01     0.00     3960     0.00     0.00  __gnu_cxx::__normal_iterator<Triangle3*, std::vector<Triangle3, std::allocator<Triangle3> > >::difference_type __gnu_cxx::operator-<Triangle3*, std::vector<Triangle3, std::allocator<Triangle3> > >(__gnu_cxx::__normal_iterator<Triangle3*, std::vector<Triangle3, std::allocator<Triangle3> > > const&, __gnu_cxx::__normal_iterator<Triangle3*, std::vector<Triangle3, std::allocator<Triangle3> > > const&)
  0.00      0.01     0.00     3960     0.00     0.00  std::vector<Triangle3, std::allocator<Triangle3> >::_M_check_len(unsigned long, char const*) const
  0.00      0.01     0.00     3834     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(std::allocator<int> const&)
  0.00      0.01     0.00     3802     0.00     0.00  __gnu_cxx::__normal_iterator<Light*, std::vector<Light, std::allocator<Light> > >::__normal_iterator(Light* const&)
  0.00      0.01     0.00     3798     0.00     0.00  __gnu_cxx::__normal_iterator<Light*, std::vector<Light, std::allocator<Light> > >::operator++()
  0.00      0.01     0.00     3798     0.00     0.00  __gnu_cxx::__normal_iterator<Light*, std::vector<Light, std::allocator<Light> > >::operator*() const
  0.00      0.01     0.00     3794     0.00     0.00  Matrix4::vecmul(Vector4 const&)
  0.00      0.01     0.00     3402     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      0.01     0.00     3402     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      0.01     0.00     3402     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      0.01     0.00     3401     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::get_allocator() const
  0.00      0.01     0.00     3401     0.00     0.00  std::vector<int, std::allocator<int> >::_M_move_assign(std::vector<int, std::allocator<int> >&&, std::integral_constant<bool, true>)
  0.00      0.01     0.00     3401     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::allocator<int> const&)
  0.00      0.01     0.00     3401     0.00     0.00  std::vector<int, std::allocator<int> >::operator=(std::vector<int, std::allocator<int> >&&)
  0.00      0.01     0.00     3401     0.00     0.00  std::remove_reference<std::allocator<int>&>::type&& std::move<std::allocator<int>&>(std::allocator<int>&)
  0.00      0.01     0.00     3401     0.00     0.00  std::remove_reference<std::vector<int, std::allocator<int> >&>::type&& std::move<std::vector<int, std::allocator<int> >&>(std::vector<int, std::allocator<int> >&)
  0.00      0.01     0.00     3400     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) const
  0.00      0.01     0.00     3400     0.00     0.00  void std::_Construct<std::vector<int, std::allocator<int> >>(std::vector<int, std::allocator<int> >*)
  0.00      0.01     0.00     3328     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >::__normal_iterator(unsigned int const* const&)
  0.00      0.01     0.00     3328     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >::base() const
  0.00      0.01     0.00     3328     0.00     0.00  std::initializer_list<unsigned int>::begin() const
  0.00      0.01     0.00     3328     0.00     0.00  unsigned int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<unsigned int const, unsigned int>(unsigned int const*, unsigned int const*, unsigned int*)
  0.00      0.01     0.00     3328     0.00     0.00  void std::_Destroy_aux<true>::__destroy<unsigned int*>(unsigned int*, unsigned int*)
  0.00      0.01     0.00     3328     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_allocate(unsigned long)
  0.00      0.01     0.00     3328     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_impl::_Vector_impl(std::allocator<unsigned int> const&)
  0.00      0.01     0.00     3328     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_impl::~_Vector_impl()
  0.00      0.01     0.00     3328     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_deallocate(unsigned int*, unsigned long)
  0.00      0.01     0.00     3328     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.01     0.00     3328     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::~_Vector_base()
  0.00      0.01     0.00     3328     0.00     0.00  std::__new_allocator<unsigned int>::deallocate(unsigned int*, unsigned long)
  0.00      0.01     0.00     3328     0.00     0.00  std::__new_allocator<unsigned int>::allocate(unsigned long, void const*)
